"#AGTG Extremely happy and blessed to say that I have received an offer from The University of Kansas !!
@CoachWallaceKU
 @Glap_IV
, as they welcome the Oklahoma State Cowboys into Lawrence for a chance to solidify their spot in the field of the conference tournament.
@TheBeatofKC
 has your series preview:" "Apr 21"
"Travel Consultant, University of Kansas - 
@onlocationexp
 (Lawrence · KS)" "Apr 19"
"http://nba.com Top 10 Availabe Options for Kansas Jayhawks Basketball at the Wing/Forward Positions in Recruiting https://youtube.com/watch?v=R0veKyDRNnI&utm_source=dlvr.it&utm_medium=twitter… http://pizzahut.com" "Apr 18"
"will wade told me once; “cory I believe i’m a pretty good coach, x and o’s, recruit, film … but the ONE thing I do really well is GET OUT THE WAY when I have talent …”  jaiden glover + sebastian robinson combination on the perimeter gives the jayhawks a chance every game." 9h
"Student researchers from 
@KUODST
 presented their work at the 23rd annual 
@UnivOfKansas
 – 
@HaskellU
 Student Research Symposium.

Read more about the partnership and this year's presenters in this 
@KansasReflector
 story by 
@TimVCarpenter
." "Apr 18"
"Here's a preview of Primo Spears' Kansas visit and why a certain relationship at Florida State is worth monitoring. #KUbball

Read (VIP):" 7h
"You have one more week to help these #LaunchKU projects soar! " "Apr 24"
"Big XII This Weekend …

Texas Baseball starts the weekend in 1st place, and has a chance for more separation with both TCU and OSU playing on the road.

Oklahoma @ #14 Texas
Baylor @ #16 Tech
TCU @ WVU
OSU @ Kansas

KSU @ UC Irvine 

Go ‘Neers and Jayhawks. " "Apr 20"
"New Episode! ""s3e24 Steve Goddard""

In s3e24, I speak with Steve Goddard, curator emeritus from the Spencer Museum of Art at the University of Kansas in Lawrence. Steve’s specialty is prints of north…

Player links & show notes:" 16h
"Commitment Analysis: Bill Self wanted Nick Timberlake from the start and landed one of the top portal targets.

We take a closer look at his commitment and what it means. #kubball 

LINK: https://kansas.forums.rivals.com/threads/nick-timberlake-a-huge-addition-for-bill-self-kansas.113897/…" "Apr 19"
"Article link is here #kubball 

https://kuhearings.com/p/hunter-dickinson-nick-timberlake-arterio-morris-harrison-ingram…" "Apr 20"
"Many Jayhawks shoot best rounds of the season as they finish third in team scoring 

Full Recap " "Apr 23"
"CFB coaches anonymously have praised Kansas' trick play to end the Liberty Bowl. The play resulted in a touchdown, and ended the game in a 27-24 victory for the Jayhawks.
https://open.substack.com/pub/thehearings/p/hearing-anonymous-coaches-react-to?r=234ib&utm_campaign=post&utm_medium=email…" "Apr 23"
"Check out this listing I just added to my #Poshmark closet: Kansas Jayhawks #31 Woodard ADIDAS Swingman Basketball Jersey Tank Top Size XL. https://poshmark.com/listing/643bf8d458083d333ad93842?utm_source=tw_sh&utm_content=ext_trk%3Dbranch%26feature%3Dsh_li_cl_and%26rfuid%3Dext1%3Aa8e9c8c4-a12e-475d-a11a-9a5576449f0b… #shopmycloset 
@poshmarkapp" "Apr 16"
"Only 2 schools are working this years 
@NFL
 Draft, Kansas Jayhawks and THE 
@BethelUniv
 Wildcats!!! Again I ask #WhyNotBethel? We provide vast resources and opportunities to our students!" "Apr 20"
"Have questions about getting your I-20 and visa to study at the University of Kansas? 
Register for this webinar on April 26th to hear from one of our Immigration Advisors on steps to get your I-20 and Visa. http://bit.ly/410FC5h" 12h
"http://nba.com Nick Timberlake joins Kansas Jayhawks! | MJ Rice is HUGE addition for NC State | Is UCLA in trouble? https://youtube.com/watch?v=7Z18hbNk5ZU&utm_source=dlvr.it&utm_medium=twitter… http://pizzahut.com" "Apr 20"
"Roy Williams, legendary head coach of the University of Kansas, had this to say about Michael Jordan's time at KU: ""Michael Jordan was an incredible player and a wonderful person. He was one of the best to ever play the game
https://streaktalkjayhawk.substack.com/p/q-and-a-roy-williams-on-michael-jordans…" "Apr 23"
"http://nba.com Top 10 Available Options for Kansas Jayhawks Basketball at Center in the Transfer Portal https://youtube.com/watch?v=M-ROF1Ejjoo&utm_source=dlvr.it&utm_medium=twitter… http://pizzahut.com" "Apr 21"
"http://nba.com Deep Dive: How Would Kansas Jayhawks Transfer Target Harrison Ingram Fit in with KU https://youtube.com/watch?v=3kgBi9DAA20&utm_source=dlvr.it&utm_medium=twitter… http://pizzahut.com" "Apr 17"
"The former Palm Desert High School star transferred to Cal State San Marcos after one year at the University of Kansas" "Apr 20"
"""They're such great people. I really love them, man. I love them up there.""

Zavier Hamilton (
@ZavierHamilton1
), one of the nation's top LB, talks about KU, his final four and official visits coming soon. #kufball" "Apr 16"
"'25 OL Michael Fasusi (
@Michael_fasusi7
) out of Lewisville has been offered by the Kansas Jayhawks. #RockChalk

https://247sports.com/Player/Michael-Fasusi-46137521/…
https://hudl.com/profile/16931029/Michael-Fasusi…" "Apr 20"
"Dave Alvin tracks such as this are woven throughout my Spotify Americana ++ playlist, as well as choice cuts by Cooder, Emmylou, Lucinda, Jayhawks, Dead, Cash, Merle, Son Volt, Eilen Jewell, Hiatt, CDB, Blackberry Smoke & many more. Link avail. w/request." 7h
"Today's 
@KCStar
 Morning Sports Edition has #Royals coverage from Phoenix (via 
@shre98
), plus TONS of #Chiefs/NFL Draft coverage. 

 Add some #kubball, #KStateMBB & more ... 

Check it out: https://liveedition.kansascity.com" 13h
"Kansas came back to stun West Virginia in a thrilling 16-point comeback. Smart scoring by the Jayhawks led to a comeback win against the Mountaineers. With four minutes left in the game, Kansas had an 8-point lead" "Apr 23"
"THE NORTHWEST COMPANY Kansas Jayhawks Memory Foam Mat 17"" x 24"" HIGM4CL" 3h
"Kevin McCullar Kansas Jayhawks Royal Swingman Basketball Youth Jersey" "Apr 20"
"Two former Kansas Jayhawks have a chance to live out their dreams during next week's 2023 NFL Draft. #KUfball

(via 
@dillondavis3
)" "Apr 21"
"Late for the Sky University of Kansas - Kansasopoly C5SUFFD" "Apr 23"
"Jayhawks Head to the Big 12 Conference Championship 

#KUWGolf x #GR38T" "Apr 20"
"FANMATS 25959 Kansas Jayhawks Dynasty Starter Mat Accent Rug - 19in  x 30in  | Sports Fan Home Decor Rug and Tailgating Mat WC4CLVA" "Apr 23"
"NCAA Kansas Jayhawks X-Grill Portable Grill - Camping Grill - Small Charcoal Grill for Tailgating ACYCYVO" "Apr 21"
"WinCraft NCAA University of Kansas Pencil (6 Pack), Black 4SYIW7I" "Apr 23"
"Here ya go" 9h
"Four-star KU Jayhawks pledge Marcus Adams Jr. signs National Letter of Intent. Story by 
@shre98
 ..." "Apr 17"
"The 6-foot-4 senior hit 41.6% of his three-point attempts last season." "Apr 19"
"KU coach Bill Self commented on the team’s latest addition on Monday." "Apr 18"
"FANMATS 19980 Team Color Crumb Rubber University of Kansas Door Mat, 1 Pack, One Size 1ZDYHMQ" "Apr 23"
"A closer look at where experts project two Kansas Jayhawks in 2023 NFL Draft" "Apr 23"
"Nick Timberlake is known for his accurate three-point shooting." "Apr 20"
"NAP CAP University of Kansas Team Indoor Pet Bed (Available in 3 Sizes) VBCJVCY" "Apr 22"
"The transfer missed the past two seasons at DePaul because of an undisclosed medical condition." "Apr 17"
"After losing five players to the transfer portal following the conclusion of the 2022-23 season, the Kansas Jayhawks made their first addition from the portal on Wednesday." "Apr 20"
"Towson’s Timberlake goes from unranked high school player to Jayhawks’ portal addition" "Apr 20"
"Jayhawks get the road split with Finger Lakes CC 

Full Recap " "Apr 20"
"http://NABJCareers.org Director of Kansas Public Radio and the Kansas Audio-Reader Network: Lawrence, Kansas Livingston Associates
 Salary: Between $110,000 and $121,000
Benefits: The University of Kansas offers an attractive benefits… http://dlvr.it/Smltfm #NABJJobAlerts" "Apr 19"
"Kansas Jayhawks jump to No. 1 in latest Associated Press poll" "Apr 23"
"The Jayhawks’ 20th-year coach is looking for “three or four” players from the portal who can make an impact next year." "Apr 18"
"http://nba.com Deep Dive: How Would Possible Kansas Jayhawks Transfer Target Primo Spears Fit at KU? https://youtube.com/watch?v=dtajl5CFJ5c&utm_source=dlvr.it&utm_medium=twitter… http://pizzahut.com" 18h
"Falcons to face Jayhawks in battle of the Birds" "Apr 17"
"Former Schlagle High, KU Jayhawks guard Tyon Grant-Foster headed to Grand Canyon" "Apr 17"
"Concept One NCAA Kansas Jayhawks Domestic Carry-on, Navy,20-Inch RYU8SKT" "Apr 16"
"NCAA Kansas Jayhawks Disposable Click Pens GCPIEA1" "Apr 20"
"PICNIC TIME NCAA Kansas Jayhawks Reflex Portable Travel Couch 1GNBMEA" "Apr 21"
"OFFICIAL: Kansas' latest 2023 recruit is a four-star at the wing position. Adams is ranked No. 36 by 247Sports." "Apr 17"
"NCAA Kansas Jayhawks Auto Sun Shade by Team ProMark I34TVG9" "Apr 18"
"ESPNU will air the Jayhawks game against the Donny Dillons Sunflower Showdown on Sunday.  Jayhawks on ESPNU SUNDAY for the Dillons Sunflower Showdown – Kansas Jayhawks (http://kuathletics.com)" "Apr 23"
"Tales from the Kansas Jayhawks Locker Room: A Collection of the Greatest Jayhawks Basketball Stories Ever Told (Tales from th A3DVIG2" "Apr 18"
"Tervis Made in USA Double Walled Kansas Jayhawks 2022 NCAA Men's Basketball National Champions Insulated Tumbler Cup Keeps Dr T98RVZP" "Apr 17"
"Damn good setlist there. First time I have missed The Jayhawks on this side of the world for some time. " "Apr 20"
